id_aeroport;length_ft;le_identificateur;le_seuil_decale_ft;he_identificateur;he_seuil_decale_ft
ATC;7000;14;;32;
ATC;7015;12;;30;
ATD;2769;13;;31;
ATE;3299;17;;35;
ATF;6316;1;;19;
ATG;9950;12;;30;
ATH;12467;03L;984;21R;984
ATH;13123;03R;984;21L;984
ATI;4183;11;;29;
ATK;4370;6;;24;
ATL;9000;08L;;26R;
ATL;9000;10;;28;
ATL;9001;09R;;27L;
ATL;10000;08R;;26L;
ATL;11890;09L;;27R;
ATM;6572;7;;25;
ATN;3494;12;;30;
ATO;5600;7;900;25;
ATP;2769;16;;34;
ATQ;10791;16;;34;700
ATR;9855;4;;22;
ATS;5390;12;;30;
ATS;6301;3;;21;
ATW;6501;11;;29;
ATW;8002;3;;21;
ATY;6895;17;;35;
ATY;6900;12;;30;300
ATZ;9905;13;;31;
AUA;9000;11;;29;
AUC;6890;11;;29;
AUD;5498;3;;21;
AUF;5413;1;393;19;
AUG;2703;8;;26;
AUG;5001;17;;35;
AUH;13452;13L;;31R;
AUH;13452;13R;;31L;
AUI;3015;15;;33;
AUM;5800;17;;35;
AUN;3700;7;200;25;
AUO;4000;11;;29;297
AUO;5264;18;;36;
AUP;2981;6;;24;
AUQ;3986;2;;20;
AUR;5577;15;;33;
AUS;9000;17L;;35R;
AUS;12248;17R;;35L;
AUU;4140;16;;34;
AUV;2625;14;;32;
AUW;3085;4;;22;
AUW;4950;12;;30;
AUW;8000;12W;;30W;
AUX;5919;9;;27;
AUZ;3199;18;;36;
AUZ;5502;15;;33;
AUZ;6501;9;;27;
AVB;8551;5;;23;
AVG;3789;17;;35;
AVI;11588;7;;25;
AVK;7546;14;;32;
AVL;8001;16;;34;
AVN;6168;17;656;35;1017
AVO;3825;9;;27;500
AVO;5364;4;;22;1000
AVP;4300;10;;28;
AVP;7501;4;;22;
AVR;9810;4;820;22;787
AVV;10000;18;;36;
AVW;3893;3;494;21;
AVW;6901;12;;30;
AVX;3000;4;120;22;149
AWD;2625;16;;34;
AWK;9843;10;;28;
AWM;6003;17;;35;
AWN;3772;1;;19;
AWP;3937;16;;34;
AWZ;11149;12;;30;
AXA;5462;10;492;28;492
AXB;4280;6;;24;
AXC;3937;11;;29;
AXD;8471;7;;25;
AXG;2880;18;;36;
AXG;3960;12;;30;
AXJ;3281;13;;31;
AXK;9482;13;;31;
AXL;3280;15;;33;
AXM;7045;2;;20;
AXN;4099;4;;22;
AXN;5100;13;;31;
AXP;5000;13;;31;
AXR;4268;10;;28;
AXS;5501;17;;35;
AXT;8200;10;;28;
AXU;7874;16;;34;
AXV;5001;8;700;26;236
AXX;8900;17;;35;
AYK;8185;8;;26;
AYL;4297;11;;29;
AYO;6070;2;;20;
AYP;9186;2;;20;
AYQ;8527;13;;31;
AYR;3697;11;;29;
AYR;4796;1;;19;
AYS;3528;13;500;31;528
AYS;5035;5;;23;
AYS;6000;18;;36;
AYT;9811;18R;;36L;
AYT;11155;18C;;36C;
AYT;11155;18L;;36R;
AZA;9301;12L;;30R;
AZA;10201;12C;;30C;
AZA;10401;12R;;30L;
AZD;13446;13;;31;
AZI;10499;13;1674;31;2559
AZL;4921;3;;21;
AZN;9770;4;;22;
AZO;2800;9;;27;
AZO;3436;5;;23;
AZO;6500;17;;35;
AZP;4265;4;;22;
AZR;9843;4;;22;
AZS;9843;7;;25;
BAB;12000;15;;33;
BAD;11756;15;;33;
BAE;2625;9;;27;
BAF;5000;15;;33;225
BAF;9000;2;;20;
BAG;5912;9;;27;
BAH;8302;12R;1000;30L;395
BAH;12979;12L;1000;30R;1000
BAI;3248;1;;19;
