id;type_aero;nom;latitude_deg;longitude_deg;elevation_ft;code_continent;code_pays;municipalite;code_icao;fuseau
LSA;small_airport;Losuia Airport;-8.505820274353027;151.08099365234375;27;OC;PG;Losuia;AYKA;Pacific/Port_Moresby
LSB;small_airport;Lordsburg Municipal Airport;32.3334999084;-108.692001343;4289;NA;US;Lordsburg;KLSB;America/Denver
LSC;medium_airport;La Florida Airport;-29.916200637799996;-71.1995010376;481;SA;CL;La Serena-Coquimbo;SCSE;America/Santiago
LSE;medium_airport;La Crosse Municipal Airport;43.879002;-91.256699;655;NA;US;La Crosse;KLSE;America/Chicago
LSF;medium_airport;Lawson Army Air Field (Fort Benning);32.337299346900004;-84.9913024902;232;NA;US;Fort Benning(Columbus);KLSF;America/New_York
LSH;medium_airport;Lashio Airport;22.9778995513916;97.752197265625;2450;AS;MM;Lashio;VYLS;Asia/Rangoon
LSI;medium_airport;Sumburgh Airport;59.87889862060547;-1.2955600023269653;20;EU;GB;Lerwick;EGPB;Europe/London
LSJ;small_airport;Long Island Airport;-5.3604;147.0177;116;OC;PG;Long Island;AYLX;Pacific/Port_Moresby
LSK;small_airport;Lusk Municipal Airport;42.753799438499996;-104.404998779;4964;NA;US;Lusk;KLSK;America/Denver
LSL;medium_airport;Los Chiles Airport;11.035300254821777;-84.70610046386719;131;NA;CR;Los Chiles;MRLC;America/Costa_Rica
LSM;small_airport;Long Semado Airport;4.21700000763;115.599998474;2150;AS;MY;Long Semado;WBGD;Asia/Kuching
LSN;small_airport;Los Banos Municipal Airport;37.06290054;-120.8690033;121;NA;US;Los Banos;KLSN;America/Los_Angeles
LSO;small_airport;Les Sables-d'Olonne Talmont Airport;46.476898193359375;-1.7227799892425537;105;EU;FR;Les Sables-d'Olonne;LFOO;Europe/Paris
LSP;medium_airport;Josefa Camejo International Airport;11.78077507019043;-70.15149688720703;75;SA;VE;Paraguaná;SVJC;America/Caracas
LSQ;small_airport;María Dolores Airport;-37.40169906616211;-72.42539978027344;374;SA;CL;Los Angeles;SCGE;America/Santiago
LSS;small_airport;Terre-de-Haut Airport;15.86439991;-61.5806007385;46;NA;GP;Les Saintes;TFFS;America/Guadeloupe
LST;medium_airport;Launceston Airport;-41.54529953;147.214004517;562;OC;AU;Launceston;YMLT;Australia/Hobart
LSU;small_airport;Long Sukang Airport;4.552219867706299;115.49400329589844;1200;AS;MY;Long Sukang;WBGU;Asia/Kuching
